round,state,lga,settlements,u5,missed_u5_round,covered_u5_round,coverage_round,missed_rate
1,Katsina,Bindawa,480,48296,20748,27548,0.5703992049030976,0.4296007950969024
1,Katsina,Charanchi,301,46938,22112,24826,0.5289104776513699,0.4710895223486301
1,Katsina,Dan Musa,475,45182,19347,25835,0.5717985038289585,0.4282014961710416
1,Katsina,Dandume,599,69858,24772,45086,0.6453949440293166,0.35460505597068337
1,Katsina,Danja,718,66207,33882,32325,0.488241424622774,0.511758575377226
1,Katsina,Daura,373,32797,12529,20268,0.6179833521358661,0.3820166478641339
1,Katsina,Dutsi,456,34700,13947,20753,0.5980691642651297,0.4019308357348703
1,Katsina,Dutsin Ma,904,66644,25769,40875,0.6133335334013564,0.38666646659864357
1,Katsina,Faskari,509,35487,10979,24508,0.6906190999520951,0.30938090004790486
1,Katsina,Funtua,849,129995,61625,68370,0.5259433055117505,0.47405669448824955
1,Katsina,Ingawa,490,49198,19110,30088,0.6115695759990244,0.38843042400097566
1,Katsina,Jibia,681,47995,19862,28133,0.5861652255443275,0.41383477445567246
1,Katsina,Kafur,613,71246,26540,44706,0.627487858967521,0.37251214103247904
1,Katsina,Kaita,338,53907,16370,37537,0.6963288626708962,0.30367113732910384
1,Katsina,Kankara,752,44621,17748,26873,0.6022500616301741,0.39774993836982586
1,Katsina,Kankia,603,55356,22446,32910,0.594515499674832,0.40548450032516803
1,Katsina,Katsina,1515,88119,33891,54228,0.6153950907295815,0.3846049092704184
1,Katsina,Kurfi,400,35670,13690,21980,0.6162040930754135,0.3837959069245865
1,Katsina,Kusada,452,35616,15592,20024,0.5622192273135669,0.43778077268643306
1,Katsina,Mai'adua,513,35182,11669,23513,0.668324711500199,0.33167528849980105
1,Katsina,Malumfashi,734,72494,24507,47987,0.661944436780975,0.338055563219025
1,Katsina,Mani,814,56021,24459,31562,0.5633958694061155,0.4366041305938844
1,Katsina,Mashi,703,53020,23264,29756,0.5612221803093173,0.43877781969068275
1,Katsina,Matazu,663,33660,14967,18693,0.5553475935828877,0.4446524064171123
1,Katsina,Musawa,440,43902,18486,25416,0.5789257892578926,0.42107421074210744
1,Katsina,Rimi,466,50143,19525,30618,0.6106136449753704,0.38938635502462954
1,Katsina,Sabuwa,352,41943,19597,22346,0.5327706649500512,0.46722933504994874
1,Katsina,Safana,346,58722,21749,36973,0.6296277374748817,0.37037226252511835
1,Katsina,Sandamu,384,33600,12059,21541,0.6411011904761905,0.35889880952380954
1,Katsina,Zango,414,35271,14720,20551,0.5826599756173627,0.4173400243826373
1,Kebbi,Aleiro,139,19958,7301,12657,0.6341817817416575,0.36581821825834254
1,Kebbi,Arewa Dandi,896,30737,15313,15424,0.5018056414093763,0.49819435859062366
1,Kebbi,Argungu,757,19626,8324,11302,0.5758687455416285,0.4241312544583715
1,Kebbi,Augie,461,21740,7880,13860,0.6375344986200552,0.3624655013799448
1,Kebbi,Bagudo,1041,42807,17310,25497,0.5956268834536408,0.40437311654635927
1,Kebbi,Bagudu,3,21,12,9,0.42857142857142855,0.5714285714285714
1,Kebbi,Birnin Kebbi,743,51390,21936,29454,0.5731465265615878,0.4268534734384121
1,Kebbi,Bunza,711,26175,11730,14445,0.5518624641833811,0.4481375358166189
1,Kebbi,Dandi,428,32335,11978,20357,0.6295654863151384,0.37043451368486163
1,Kebbi,Fakai,825,27516,8575,18941,0.6883631341764791,0.31163686582352085
1,Kebbi,Gwandu,566,39622,15375,24247,0.6119580031295745,0.3880419968704255
1,Kebbi,Jega,681,28271,13589,14682,0.5193307629726575,0.4806692370273425
1,Kebbi,Kalgo,485,20293,8926,11367,0.560143891982457,0.439856108017543
1,Kebbi,Koko-Besse,756,50019,22380,27639,0.5525700233911114,0.4474299766088886
1,Kebbi,Maiyama,458,44627,21317,23310,0.5223295314495708,0.4776704685504291
1,Kebbi,Ngaski,574,30978,11817,19161,0.6185357350377687,0.38146426496223124
1,Kebbi,Sakaba,613,32025,6507,25518,0.7968149882903981,0.20318501170960188
1,Kebbi,Shanga,406,41213,18066,23147,0.5616431708441512,0.4383568291558489
1,Kebbi,Suru,649,30260,13466,16794,0.5549900859220093,0.44500991407799073
1,Kebbi,Wasagu-Danko,1249,57675,25869,31806,0.5514694408322497,0.4485305591677503
1,Kebbi,Yauri,499,26482,9375,17107,0.6459859527226041,0.354014047277396
1,Kebbi,Zuru,650,12510,6161,6349,0.5075139888089528,0.4924860111910472
1,Sokoto,Binji,291,15558,7737,7821,0.5026995757809487,0.4973004242190513
1,Sokoto,Bodinga,585,35609,17247,18362,0.5156561543430032,0.48434384565699684
1,Sokoto,Dange Shuni,568,36038,17320,18718,0.5193961929074865,0.48060380709251344
1,Sokoto,Gada,862,56218,23364,32854,0.5844035718097407,0.4155964281902593
1,Sokoto,Goronyo,517,60627,20054,40573,0.6692232833556007,0.33077671664439934
1,Sokoto,Gudu,355,11947,4950,6997,0.5856700426885411,0.41432995731145894
1,Sokoto,Gwadabawa,536,33493,14484,19009,0.5675514286567342,0.43244857134326575
1,Sokoto,Illela,426,28375,11452,16923,0.5964052863436123,0.40359471365638766
1,Sokoto,Isa,427,37156,12039,25117,0.6759877274195285,0.32401227258047155
1,Sokoto,Kebbe,344,18763,8125,10638,0.5669669029472899,0.43303309705271015
1,Sokoto,Kware,621,59832,29366,30466,0.5091924054017917,0.49080759459820833
1,Sokoto,Rabah,326,31591,12628,18963,0.6002658985153999,0.39973410148460004
1,Sokoto,Sabon Birni,558,43901,15423,28478,0.6486868180679256,0.35131318193207445
1,Sokoto,Shagari,370,34260,11180,23080,0.673671920607122,0.326328079392878
1,Sokoto,Silame,373,19515,8869,10646,0.545529080194722,0.454470919805278
1,Sokoto,Sokoto North,328,32810,14821,17989,0.5482779640353551,0.45172203596464494
1,Sokoto,Sokoto South,434,29216,11648,17568,0.6013143483023001,0.39868565169769987
1,Sokoto,Tambuwal,578,41782,20387,21395,0.5120626106936002,0.4879373893063999
1,Sokoto,Tangaza,476,6916,3045,3871,0.5597165991902834,0.4402834008097166
1,Sokoto,Tureta,251,25926,9846,16080,0.6202267993520019,0.37977320064799813
1,Sokoto,Wamakko,631,48632,22500,26132,0.5373416680375062,0.46265833196249384
1,Sokoto,Wurno,399,30662,14055,16607,0.541615028373883,0.458384971626117
1,Sokoto,Yabo,406,26731,13338,13393,0.5010287680969661,0.49897123190303394
1,Zamfara,Anka,330,37457,14322,23135,0.617641562324799,0.3823584376752009
1,Zamfara,Bakura,437,43388,21254,22134,0.5101410528256661,0.4898589471743339
1,Zamfara,Birnin_magaji-Kiyaw,673,70761,26755,44006,0.6218962422803521,0.3781037577196478
1,Zamfara,Bukkuyum,612,49602,23152,26450,0.5332446272327729,0.4667553727672271
1,Zamfara,Bungudu,549,57777,27705,30072,0.5204839295913599,0.47951607040864014
1,Zamfara,Gummi,569,62442,24023,38419,0.6152749751769642,0.3847250248230358
1,Zamfara,Gusau,930,106956,50771,56185,0.5253094730543401,0.4746905269456599
1,Zamfara,Kaura Namoda,598,80447,39556,40891,0.5082973883426355,0.49170261165736445
1,Zamfara,Maradun,388,41876,16174,25702,0.6137644474161811,0.3862355525838189
1,Zamfara,Maru,912,51588,23801,27787,0.5386330154299449,0.46136698457005504
1,Zamfara,Shinkafi,284,54110,23782,30328,0.5604878950286454,0.4395121049713546
1,Zamfara,Talata Mafara,702,63854,21679,42175,0.6604911203683402,0.3395088796316597
1,Zamfara,Tsafe,558,70504,25041,45463,0.6448286622035629,0.35517133779643706
1,Zamfara,Zurmi,851,61733,18511,43222,0.7001441692449744,0.2998558307550257
2,Jigawa,Auyo,283,29019,7905,21114,0.7275922671353251,0.27240773286467485
2,Jigawa,Babura,590,68811,21156,47655,0.6925491563848803,0.30745084361511965
2,Jigawa,Birnin Kudu,741,84417,26590,57827,0.6850160512692941,0.3149839487307059
2,Jigawa,Birniwa,810,39308,15469,23839,0.6064668769716088,0.39353312302839116
2,Jigawa,Buji,341,29635,12241,17394,0.5869411169225578,0.4130588830774422
2,Jigawa,Dutse,709,66651,23143,43508,0.6527734017494111,0.3472265982505889
2,Jigawa,Gagarawa,299,33992,9635,24357,0.7165509531654507,0.2834490468345493
2,Jigawa,Garki,447,45753,6511,39242,0.8576923917557319,0.14230760824426814
2,Jigawa,Gumel,258,26081,7859,18222,0.6986695295425789,0.3013304704574211
2,Jigawa,Guri,484,25926,8821,17105,0.6597624006788552,0.3402375993211448
2,Jigawa,Gwaram,658,96879,40523,56356,0.5817153356248517,0.4182846643751484
2,Jigawa,Gwiwa,383,29849,5431,24418,0.8180508559750745,0.18194914402492546
2,Jigawa,Hadejia,127,35609,15613,19996,0.5615434300317336,0.43845656996826643
2,Jigawa,Jahun,852,53868,17130,36738,0.6820004455335263,0.3179995544664736
2,Jigawa,Kafin Hausa,898,50409,15752,34657,0.6875161181535043,0.31248388184649567
2,Jigawa,Kaugama,375,38848,13200,25648,0.6602141680395387,0.3397858319604613
2,Jigawa,Kazaure,324,50145,16623,33522,0.6685013460963207,0.33149865390367933
2,Jigawa,Kiri Kasama,513,41652,14875,26777,0.6428742917506962,0.35712570824930373
2,Jigawa,Kiyawa,744,47390,15440,31950,0.6741928676936062,0.32580713230639374
